PlayerValue,DealerValue,Result,InitialBalance,FinalBalance
13,3,w,6845,6895
19,6,w,6895,6945
26,10,l,6945,6895
24,9,l,6895,6845
20,2,w,6845,6895
17,8,l,6895,6845
18,7,w,6845,6895
21,6,w,6895,6945
26,9,l,6945,6895
18,5,w,6895,6945
22,7,l,6945,6895
24,10,l,6895,6845
18,11,w,6845,6895
12,6,w,6895,6945
19,10,l,6945,6895
17,9,l,6895,6845
21,10,w,6845,6895
22,10,l,6895,6845
20,10,w,6845,6895
15,4,l,6895,6845
25,9,l,6845,6795
18,10,l,6795,6745
25,7,l,6745,6695
19,10,w,6695,6745
19,7,w,6745,6795
21,10,t,6795,6795
21,9,w,6795,6845
13,2,l,6845,6795
25,8,l,6795,6745
20,10,l,6745,6695
19,4,w,6695,6745
13,6,w,6745,6795
17,9,l,6795,6745
12,4,l,6745,6695
20,10,w,6695,6745
17,9,l,6745,6695
21,5,w,6695,6745
24,10,l,6745,6695
22,11,l,6695,6645
18,4,t,6645,6645
17,11,l,6645,6595
19,10,t,6595,6595
13,3,l,6595,6545
20,4,w,6545,6595
18,7,w,6595,6645
19,10,l,6645,6595
22,7,l,6595,6545
21,9,w,6545,6595
20,8,w,6595,6645
15,2,l,6645,6595
20,10,t,6595,6595
13,4,w,6595,6645
20,9,w,6645,6695
13,5,l,6695,6645
16,4,l,6645,6595
13,6,l,6595,6545
12,5,l,6545,6495
25,7,l,6495,6445
19,10,w,6445,6495
17,11,l,6495,6445
20,10,w,6445,6495
22,10,l,6495,6445
19,7,w,6445,6495
22,10,l,6495,6445
18,10,w,6445,6495
14,2,l,6495,6445
13,3,l,6445,6395
24,10,l,6395,6345
18,10,w,6345,6395
20,10,l,6395,6345
17,3,l,6345,6295
18,11,l,6295,6245
14,6,l,6245,6195
18,7,w,6195,6245
21,6,w,6245,6295
19,11,w,6295,6345
20,7,w,6345,6395
18,3,t,6395,6395
14,6,l,6395,6345
17,10,l,6345,6295
17,8,t,6295,6295
19,9,w,6295,6345
17,3,l,6345,6295
23,8,l,6295,6245
17,8,l,6245,6195
18,2,l,6195,6145
16,6,l,6145,6095
15,3,l,6095,6045
20,10,t,6045,6045
19,4,w,6045,6095
14,3,l,6095,6045
17,7,t,6045,6045
20,11,l,6045,5995
22,10,l,5995,5945
19,10,t,5945,5945
24,9,l,5945,5895
20,10,l,5895,5845
20,11,l,5845,5795
21,2,w,5795,5845
23,8,l,5845,5795
23,10,l,5795,5745
25,7,l,5745,5695
19,8,w,5695,5745
25,9,l,5745,5695
13,5,w,5695,5745
24,10,l,5745,5695
22,10,l,5695,5645
22,3,l,5645,5595
21,10,w,5595,5645
16,2,w,5645,5695
19,9,w,5695,5745
24,9,l,5745,5695
22,9,l,5695,5645
20,10,t,5645,5645
22,3,l,5645,5595
20,4,w,5595,5645
21,9,w,5645,5695
12,5,l,5695,5645
15,2,l,5645,5595
21,10,w,5595,5645
15,4,l,5645,5595
17,2,w,5595,5645
20,6,l,5645,5595
22,7,l,5595,5545
14,2,w,5545,5595
21,10,w,5595,5645
13,6,l,5645,5595
18,10,l,5595,5545
18,10,t,5545,5545
17,10,l,5545,5495
21,10,w,5495,5545
23,10,l,5545,5495
18,10,t,5495,5495
19,3,w,5495,5545
15,6,w,5545,5595
19,2,t,5595,5595
17,8,l,5595,5545
18,10,l,5545,5495
15,3,l,5495,5445
18,10,l,5445,5395
25,8,l,5395,5345
19,7,w,5345,5395
18,10,l,5395,5345
19,7,w,5345,5395
20,6,w,5395,5445
12,6,w,5445,5495
13,2,w,5495,5545
17,10,l,5545,5495
20,5,w,5495,5545
13,2,w,5545,5595
20,10,t,5595,5595
16,5,l,5595,5545
13,6,l,5545,5495
18,11,l,5495,5445
13,6,l,5445,5395
18,9,w,5395,5445
18,6,w,5445,5495
19,9,w,5495,5545
22,10,l,5545,5495
20,10,t,5495,5495
20,3,w,5495,5545
18,2,l,5545,5495
21,2,w,5495,5545
21,9,w,5545,5595
15,3,l,5595,5545
17,9,l,5545,5495
18,4,l,5495,5445
22,11,l,5445,5395
19,5,l,5395,5345
17,11,l,5345,5295
18,10,l,5295,5245
21,10,t,5245,5245
21,7,w,5245,5295
14,6,l,5295,5245
22,10,l,5245,5195
21,7,w,5195,5245
18,9,t,5245,5245
14,6,l,5245,5195
20,10,w,5195,5245
17,11,l,5245,5195
19,10,l,5195,5145
17,6,w,5145,5195
19,10,t,5195,5195
23,7,l,5195,5145
21,10,w,5145,5195
19,7,w,5195,5245
18,6,w,5245,5295
25,9,l,5295,5245
20,3,w,5245,5295
20,10,w,5295,5345
25,10,l,5345,5295
20,8,w,5295,5345
26,8,l,5345,5295
19,10,w,5295,5345
18,9,l,5345,5295
20,11,w,5295,5345
14,3,l,5345,5295
20,10,w,5295,5345
16,3,l,5345,5295
22,10,l,5295,5245
24,10,l,5245,5195
23,7,l,5195,5145
22,10,l,5145,5095
23,11,l,5095,5045
14,4,w,5045,5095
16,4,l,5095,5045
20,3,w,5045,5095
20,10,w,5095,5145
15,6,l,5145,5095
21,10,w,5095,5145
17,10,t,5145,5145
12,6,w,5145,5195
20,2,w,5195,5245
20,10,w,5245,5295
13,2,l,5295,5245
13,5,l,5245,5195
18,10,l,5195,5145
17,7,l,5145,5095
13,2,l,5095,5045
23,10,l,5045,4995
18,8,w,4995,5045
20,11,l,5045,4995
18,4,w,4995,5045
19,11,l,5045,4995
20,10,w,4995,5045
12,4,w,5045,5095
14,5,w,5095,5145
15,3,w,5145,5195
24,9,l,5195,5145
20,11,t,5145,5145
20,10,w,5145,5195
23,10,l,5195,5145
20,10,t,5145,5145
18,10,w,5145,5195
23,10,l,5195,5145
20,8,w,5145,5195
18,10,w,5195,5245
20,10,w,5245,5295
25,11,l,5295,5245
18,9,l,5245,5195
17,10,l,5195,5145
14,3,l,5145,5095
21,11,w,5095,5145
25,9,l,5145,5095
21,5,w,5095,5145
20,5,w,5145,5195
14,3,w,5195,5245
14,4,w,5245,5295
18,7,l,5295,5245
19,4,w,5245,5295
17,2,w,5295,5345
13,6,l,5345,5295
21,10,w,5295,5345
19,8,w,5345,5395
20,10,w,5395,5445
22,9,l,5445,5395
20,2,t,5395,5395
26,11,l,5395,5345
17,10,w,5345,5395
17,2,l,5395,5345
19,8,w,5345,5395
22,9,l,5395,5345
22,9,l,5345,5295
14,2,l,5295,5245
20,5,w,5245,5295
26,9,l,5295,5245
19,7,t,5245,5245
25,10,l,5245,5195
17,10,l,5195,5145
21,10,w,5145,5195
22,10,l,5195,5145
15,3,l,5145,5095
18,11,l,5095,5045
21,10,t,5045,5045
14,4,l,5045,4995
16,3,l,4995,4945
18,8,t,4945,4945
13,4,l,4945,4895
17,3,l,4895,4845
20,11,w,4845,4895
20,11,t,4895,4895
16,6,w,4895,4945
14,2,l,4945,4895
19,9,t,4895,4895
16,2,w,4895,4945
15,5,l,4945,4895
16,2,l,4895,4845
20,10,t,4845,4845
20,2,w,4845,4895
25,10,l,4895,4845
14,3,w,4845,4895
13,5,l,4895,4845
20,8,w,4845,4895
17,11,t,4895,4895
19,6,w,4895,4945
17,10,w,4945,4995
16,2,l,4995,4945
13,2,w,4945,4995
22,11,l,4995,4945
20,9,l,4945,4895
17,10,l,4895,4845
12,5,l,4845,4795
15,5,w,4795,4845
18,3,w,4845,4895
18,11,w,4895,4945
18,10,w,4945,4995
20,10,l,4995,4945
21,9,w,4945,4995
26,9,l,4995,4945
20,6,w,4945,4995
17,5,t,4995,4995
18,8,w,4995,5045
20,10,l,5045,4995
20,5,w,4995,5045
24,9,l,5045,4995
18,10,l,4995,4945
20,3,l,4945,4895
17,10,l,4895,4845
19,10,l,4845,4795
21,8,w,4795,4845
21,6,w,4845,4895
12,5,l,4895,4845
16,4,l,4845,4795
19,7,w,4795,4845
15,5,w,4845,4895
19,10,t,4895,4895
18,11,w,4895,4945
18,8,w,4945,4995
22,9,l,4995,4945
16,2,w,4945,4995
18,9,l,4995,4945
20,10,l,4945,4895
21,10,w,4895,4945
16,2,w,4945,4995
23,7,l,4995,4945
25,11,l,4945,4895
21,4,w,4895,4945
19,7,w,4945,4995
14,6,w,4995,5045
22,7,l,5045,4995
16,6,w,4995,5045
12,5,w,5045,5095
17,2,l,5095,5045
21,11,w,5045,5095
20,10,t,5095,5095
20,10,w,5095,5145
18,10,l,5145,5095
21,10,w,5095,5145
13,4,l,5145,5095
24,10,l,5095,5045
20,10,w,5045,5095
16,6,w,5095,5145
13,3,l,5145,5095
26,10,l,5095,5045
20,10,l,5045,4995
25,10,l,4995,4945
17,4,l,4945,4895
18,4,w,4895,4945
15,6,w,4945,4995
20,2,t,4995,4995
14,5,w,4995,5045
14,4,l,5045,4995
20,4,w,4995,5045
19,9,w,5045,5095
14,4,l,5095,5045
20,10,t,5045,5045
18,10,l,5045,4995
22,3,l,4995,4945
19,5,w,4945,4995
19,10,l,4995,4945
14,5,l,4945,4895
23,10,l,4895,4845
13,5,w,4845,4895
17,5,w,4895,4945
15,3,l,4945,4895
